OBJECTID,contract_number,contract_description,contractor_id,contractor_name,contract_status,contract_type,contract_subtype,last_modified,original_amount,revised_amount,vendor_id,vendor_name,objectid_1,aging,,,
430,91100211,BELE CHERE HOSPITALITY CATERER                    ,29523,"TERRACON CONSULTANTS, INC",CLOSED,GS   (GEN SERV),,2012/06/27 00:00:00+00,5175,10251,7594,PRIME TIME CATERERS INC,429,Current,,,
431,91900349,HOMEWARD BOUND ESG HOUSING FY 2019                ,5367,UNC ASHEVILLE,CLOSED,HUD (GEN SERV-HUD),ESG,2020/06/12 00:00:00+00,54412,51953,1211,HOMEWARD BOUND,430,31-60,,,
432,91800091,RANKIN AVENUE / WALL STREET GARAGES RESTORATION   ,23073,"THE HISTORY BOUTIQUE, LLC",CLOSED,PRO  (PRO SERVIC),,2020/04/24 00:00:00+00,77300,67752,25120,WALTER P. MOORE & ASSOCIATES,431,90+,,,
433,91100081,BC ENTERTAINER - NATHAN MOORE                     ,8145,WNC SKIING & OUTING INC DBA,CLOSED,ENT  (ENTERTAIN),,2010/07/02 00:00:00+00,900,900,10707,"MOORE, NATHAN",432,31-60,,,
434,92000126,POST-CONDITIONAL OFFER MEDICAL EXAMS              ,12722,"P.I.P.S. INSTALLATION, INC.",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,10000,20000,8100,"LAW ENFORCEMENT SERVICES GROUP, PLLC",433,31-60,,,
435,91100361,PREVENT MAINTENANCE GENERATORS AT PUMP STATIONS   ,18876,BIGFOOT PAVING,CLOSED,GENERAL,,2012/06/29 00:00:00+00,22357.76,20557.5,3385,CUMMINS ATLANTIC LLC,434,31-60,,,
436,91200127,CIVIC CTR CHILLER MCQUAY SERVICE PROGRAM          ,8820,"C & C BUSINESSES, INC.",CLOSED,GS   (GEN SERV),,2012/07/31 00:00:00+00,21000,21000,1713,DAIKIN APPLIED AMERICAS INC.,435,90+,,,
437,91700062,CONVERT EMSE SCRIPTS TO JAVASCRIPT                ,15932,SAFE TRANSPORTATION TRAINING SPECIALISTS,CLOSED,IT/TECH,,2017/06/23 00:00:00+00,28675,28675,12649,"ACCELA, INC.",436,1-30,,,
438,91900209,REMOVE PUBLIC STUFF INTERFACE                     ,15277,"BRADLEY, LAUREN",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,230000,217710,22777,TIMMONS GROUP INC.,437,90+,,,
439,92000325,3 DISPATCHERS FOR FY 19-20 CONTINUATION OF SERVICE,10619,GALLAGHER BENEFITS,CLOSED,GS   (GEN SERV),,2021/06/08 00:00:00+00,222281,220782.76,416,BUNCOMBE COUNTY FINANCE DEPT,438,1-30,,,
440,91100250,SECURITY/FIRE INSTALLATION AND MONITORING         ,23888,"HILLS MACHINERY COMPANY,LLC",CLOSED,GS   (GEN SERV),,2014/06/12 00:00:00+00,3400,4820,190,ALARM SERVICES OF ASHEVILLE INC.,439,31-60,,,
441,91700094,REPLACED DAMAGED BUS SHELTER 85 TUNNEL RD         ,5298,FIRST AT BLUE RIDGE,CLOSED,CON  (CONSTUCT/R),,2017/06/09 00:00:00+00,1850,1800,16421,"ALLISON CONTRACTORS, LLC",440,Current,,,
442,91800437,"NEW PLAYGROUNDS AT HERB WATTS, LAKEWOOD & W. ASHEV",11519,"HOUGHTALING, PAUL KEVIN",CLOSED,CON  (CONSTUCT/R),,2020/06/23 00:00:00+00,730275,697588,5260,"B ALLEN CONSTRUCTION, INC.",441,31-60,,,
443,91700203,CJIS/CDE - CONTINUATION OF SERVICES FY 17         ,1923,NORFOLK SOUTHERN CORPORATION,CLOSED,GS   (GEN SERV),,2019/04/03 00:00:00+00,695338,873648.79,416,BUNCOMBE COUNTY FINANCE DEPT,442,61-90,,,
444,91000458,HOMELESS INITIATIVE PROGRAM- CONTRACTED SERVICES  ,1579,LAUREY'S,CLOSED,GS   (GEN SERV),,2010/04/01 00:00:00+00,3750,3750,10262,LAURA DOMINKOVIC,443,90+,,,
445,91300040,CHALLEDON SUBDIVISION WL REPLACEMENT PROJECT      ,7724,DISTINCTIVE AFWS DESIGNS,CLOSED,CON  (CONSTUCT/R),,2013/05/24 00:00:00+00,314360,285459.08,10485,"PATTON CONSTRUCTION GROUP, INC.",444,1-30,,,
446,91100728,SURVEYING 2 PARCELS OF LAND FOR CITY              ,10673,R-PROSELECT LLC,CLOSED,PRO  (PRO SERVIC),,2013/01/16 00:00:00+00,8500,10900,11680," COLE  SURVEYING AND DESIGN, PA",445,90+,,,
447,91800126,GPS UNITS FOR 20 WATER VEHICLES                   ,34056,"RIVER ARTS DISTRICT ARTISTS, INC",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,8092.6,55276.71,28534,NETWORKFLEET INC,446,31-60,,,
448,91700235,BILTMORE PARK PRUNING AND REMOVALS                ,10100,MOUNT ZION MISSIONARY BAPTIST CHURCH,CLOSED,PRO  (PRO SERVIC),,2017/05/02 00:00:00+00,9690,9690,4077,SNOW CREEK LANDSCAPING LLC,447,Current,,,
449,91100652,PM ROOFING REPAIRS                                ,31363,WNC LANDSCAPING LLC,CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,1000,8666.21,4174,CAROLINA MOUNTAIN ROOFING,448,1-30,,,
450,91300129,PREVENTATIVE MAINTENANCE AGREEMENT PUMPS & RESERVO,31804,AWS NIRVANA,CLOSED,GS   (GEN SERV),,2014/06/02 00:00:00+00,21291.84,20613.84,3385,CUMMINS ATLANTIC LLC,449,90+,,,
451,91100245,AUTO BODY CONTRACT                                ,29803,"J. BRADY CONTRACTING, INC",CLOSED,GENERAL,,2019/03/27 00:00:00+00,60000,57857.46,9088,"RUSSELL'S PAINT AND BODY, LLC",450,1-30,,,
452,91600049,DESIGN OF REPAIR FOR CEDAR STREET BRIDGE          ,37926,"TS WORLDWIDE, LLC",CLOSED,PRO  (PRO SERVIC),,2017/09/14 00:00:00+00,45000,40582.53,18791,WSP USA CORP.,451,90+,,,
453,92000479,COVID - 19 & FEMA REIM EXPENSE ASSISTANCE         ,6722,BLAIR TOWING & RECOVERY SVC,POSTED,GS   (GEN SERV),SERVICE,2021/08/20 00:00:00+00,25000,85000,33575,MPACT STRATEGIC CONSULTING LLC,452,31-60,,,
454,92100163,GRANT NC 2020-057-00 FFY 2019-5310 ENHANCED MOBILI,1964,OTIS ELEVATOR COMPANY,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,13508,13508,7155,BUNCOMBE COUNTY PLANNING DEPAR,453,31-60,,,
455,91600293,ANNUAL SUPPORT FOR CISCO INFRASTRUCTURE           ,3884,COMMISSION ON ACCREDITATION,CLOSED,GS   (GEN SERV),,2016/08/03 00:00:00+00,17354.88,17354.88,13965,"CONTINUANT, INC.",454,1-30,,,
456,91700315,DEMO SIDEWALK AND CONSTRUCT RETAINING WALL        ,3507,"EAN HOLDINGS, LLC",CLOSED,CON  (CONSTUCT/R),,2018/02/07 00:00:00+00,103961,91132.91,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",455,90+,,,
457,91200264,PARK FACILITIES GROUND MAINTENANCE                ,25209,PHOENIX LANDSCAPE OF CHARLOTTE,CLOSED,GS   (GEN SERV),,2013/04/12 00:00:00+00,10000,9607.5,19668,"WILDE ACRE LANDSCAPES, INC.",456,1-30,,,
458,91200045,SCADA UPGRADE FOR WATER TREATMENT PLANTS          ,9022,MERCURY COMMERCE-ESM SOLUTIONS,CLOSED,GS   (GEN SERV),,2011/07/11 00:00:00+00,64937.59,64937.59,32198,GENERAL ELECTRIC COMPANY,457,90+,,,
459,91100252,DISTINCTIVE AFWS DESIGNS/FLOOD WARNING SYST MAINTE,7065,B & S STORAGE ON WHEELS,CLOSED,PRO  (PRO SERVIC),,2013/09/20 00:00:00+00,43980,24985,7724,DISTINCTIVE AFWS DESIGNS,458,Current,,,
460,91500122,CONSTRUCTION ADMINISTRATION - NFWTP DAM/TUNNEL    ,7997,FIRE SYSTEMS INC,CLOSED,PRO  (PRO SERVIC),,2017/05/10 00:00:00+00,302400,455395.24,4596,SCHNABEL ENGINEERING SOUTH PC,459,61-90,,,
461,91200302,HVAC FIRE STATION 5                               ,26859,CHA CONSULTING INC,CLOSED,GS   (GEN SERV),,2012/09/05 00:00:00+00,6442,13318,2152,R & W INC,460,1-30,,,
462,92100364,FY 20/21 HOUSING SERVICES                         ,27447,APT ACQUISITION & CONSTRUCTION,POSTED,HUD (GEN SERV-HUD),CDBG,2021/08/20 00:00:00+00,81000,81000,1211,HOMEWARD BOUND,461,90+,,,
463,91200029,METER SERVICE CONNECTIONS FOR AMR PROJECT         ,10429,DEVON MORGAN DESIGN,CLOSED,CON  (CONSTUCT/R),,2012/08/30 00:00:00+00,55800,55800,10485,"PATTON CONSTRUCTION GROUP, INC.",462,61-90,,,
464,91100511,ENVIRONMENTAL ASSESSMENT OF BUILDINGS             ,10096,"JOHNSON, NAOMI",CLOSED,GS   (GEN SERV),,2010/12/28 00:00:00+00,1500,1585,11304,"ALPHA ENVIRONMENTAL SCIENCES, INC.",463,90+,,,
465,91100353,CATERING FOR 9-11 CEREMONY                        ,37230,NEXTREQUEST CO.,CLOSED,GENERAL,,2010/09/21 00:00:00+00,1381.7,1447.93,1123,GROVE PARK INN,464,1-30,,,
466,92100084,FY2020 CARES ACT  FOR HENDERSON CO AGREEMENT      ,10037,BLUE RIDGE GRADING & TRUCKING INC,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,1756356,1756356,1255,HENDERSON COUNTY,465,31-60,,,
467,91900233,CONSULTANT SERVICES FOR TRANSIT PLANNING          ,3396,CHILDREN FIRST/COMMUNITIES IN SCHOOLS OF BUNCOMBE,CLOSED,GS   (GEN SERV),,2020/09/15 00:00:00+00,10000,7528.8,31411,F C MCCOLM CONSULTING LLC,466,1-30,,,
468,91900181,TRAFFIC VOLUME/SPEED PNEUMATIC TUBE COUNTS        ,30956,DIESEL POWER TRUCK CTR,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,4800,4800,1754,MATTERN & CRAIG,467,1-30,,,
469,92000111,19-20 SPF MT ZION COMM DEVELOP. PROJECT EMPOWER/NA,10116,"COMMUNICATIA, INC.",CLOSED,GS   (GEN SERV),,2020/08/12 00:00:00+00,5000,5000,11211,MOUN ZION COMMUNITY DEVELOPMENT INC.,468,31-60,,,
470,91100158,ANNUAL MAINTENANCE ON GARAGE ELEVATORS            ,27758,MATTAR BUILDERS LLC,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,18000,17988,39,ASHEVILLE ELEVATOR COMPANY,469,Current,,,
471,92000070,POSTAGE - WATER RESOURCES YR 3 MULTI-YR CONTRACT  ,8364,"EMA RESOURCES, INC",CLOSED,GS   (GEN SERV),,2022/01/31 00:00:00+00,225000,224687.57,3204,MAIL MANAGEMENT SERVICES,470,90+,,,
472,92000115,EMERGENCY NOTIFICATION SYSTEM YEAR 3 OF 3         ,1891,NAPA AUTO PARTS,CLOSED,GS   (GEN SERV),,2021/11/01 00:00:00+00,30995,92985,19818,"EVERBRIDGE, INC.",471,Current,,,
473,92200219,FY 21/22 CSBDF WWBC ECON. DEV.                    ,5720,JUDY EUBANKS,POSTED,HUD (GEN SERV-HUD),CDBG,2021/11/01 00:00:00+00,100000,100000,20617,CAROLINA SMALL BUSINESS DEVELOPMENT FUND,472,90+,,,
474,91100722,CDE DIVERSITY TRAINING PART 1                     ,7578,BARBARA SWELL,CLOSED,GENERAL,,2011/02/28 00:00:00+00,712,712,4814,CENTER FOR DIVERSITY EDUCATION,473,61-90,,,
475,91100593,TAI CHI INSTRUCTOR                                ,1535,LAND-OF-SKY REGIONAL COUNCIL,CLOSED,GENERAL,,2013/10/04 00:00:00+00,1500,1407,8726,STANLEY CORWIN,474,31-60,,,
476,91100446,"LOCAL JOBS.COM, INC.                              ",32612,ROUTEWARE CANADA,CLOSED,GENERAL,,2012/06/28 00:00:00+00,4800,4400,11159,"LOCALJOBS.COM, INC.",475,Current,,,
477,91400070,BC ENTERTAINMENT - MOUNTAIN HEART                 ,4629,AMICK EQUIPMENT COMPANY,CLOSED,ENT  (ENTERTAIN),,2013/07/23 00:00:00+00,5500,5500,17225,"MOUNTAIN HEART, INC.",476,61-90,,,
478,92200314,HCCA BOILER                                       ,18546,"FLOORMASTERS, INC.",POSTED,CON  (CONSTUCT/R),,2022/02/08 00:00:00+00,26372,26372,11643,H & M CONSTRUCTORS,477,Current,,,
479,91500090,UCMR3 SAMPLING FOR WATER PRODUCTION               ,10100,MOUNT ZION MISSIONARY BAPTIST CHURCH,CLOSED,GS   (GEN SERV),,2015/08/14 00:00:00+00,11880,11880,19189,"EUROFINS EATON ANALYTICAL, INC.",478,31-60,,,
480,92000402,MOUNTAINSIDE CHIP SEAL PATH INSTALLATION          ,9043,"BRITT AND TILSON GLASS CO., IN",CLOSED,GS   (GEN SERV),,2020/03/23 00:00:00+00,28485,28485,34357,"EXCAVATING UNLIMITED OF NC, LLC",479,31-60,,,
481,91000512,SIDEWALK INSTALLATION                             ,13246,GOVERNMENT JOBS.COM INC.,CLOSED,CON  (CONSTUCT/R),,2010/08/19 00:00:00+00,9784,9784,8643,VALLEYCREST LANDSCAPE DEVELOPM,480,1-30,,,
482,92000221,GRANT ENCHANCED MOBILITY OF SRSS/INDIVIDUAL W/DISA,18183,"NUOVO ENERGY SOLUTIONS, LLC",CLOSED,GS   (GEN SERV),,2019/10/17 00:00:00+00,5000,5000,5440,MADISON COUNTY,481,1-30,,,
483,91600154,CONSTRUCTION DRAWINGS FOR 14 RIVERSIDE DRIVE      ,5919,KATE GUZY,CLOSED,PRO  (PRO SERVIC),,2016/06/02 00:00:00+00,9500,10050,4335,MATHEWS ARCHITECTURE,482,61-90,,,
484,91700412,LEAN GOVERNMENT CERTIFICATES                      ,12971,T. P. HOWARDS PLUMBING CO INC,CLOSED,GS   (GEN SERV),,2018/06/18 00:00:00+00,16855,16855,1377,NC STATE UNIVERSITY,483,1-30,,,
485,91200273,PATTON AVE SIDEWALK                               ,9099,WILLIAM LEE CLARKE,CLOSED,CON  (CONSTUCT/R),,2013/04/17 00:00:00+00,464307.25,351197.48,8957,SITE DEVELOPMENT CORPORATION,484,61-90,,,
486,92000198,FY 19 CONCRETE MAINTENANCE SUPPLEMENTAL CONTRACT  ,37058,"EZ STRIPING, LLC",CLOSED,CON  (CONSTUCT/R),,2019/09/30 00:00:00+00,9720.7,9720.7,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",485,1-30,,,
487,91400314,LEASE OF SPACE AT FEDERAL BUILDING                ,8097,DARLA FOGLE,CLOSED,LS   (LEASE SVCS),,2019/04/11 00:00:00+00,1821.07,107861.83,19141,GSA,486,1-30,,,
488,92200167,COLLEGE STREET GOATS                              ,26793,CAROLINA FITNESS,POSTED,GS   (GEN SERV),,2021/09/08 00:00:00+00,2000,2000,37964,RYAN PICKENS,487,61-90,,,
489,91700355,INSTALL PAVEMENT MARKINGS/STRIPING ALONG 5-6 SREET,27150,THE PALMER COMPANY INC,CLOSED,CON  (CONSTUCT/R),,2018/06/28 00:00:00+00,17457.5,16506.56,7499,"NEW DIMENSIONS IN PAVEMENT MARKINGS, INC.",488,1-30,,,
490,91700299,TUNNEL ROAD RETAINING WALL                        ,14473,"MASTERCRAFT RENOVATION SYSTEMS, LLC",CLOSED,CON  (CONSTUCT/R),,2018/02/06 00:00:00+00,497000,432852.6,18224,"NHM CONSTRUCTORS, LLC",489,90+,,,
491,91600183,NEP AREA 2 PROJECT ENGINEERING                    ,11026,HOME ENERGY PARTNERS,CLOSED,PRO  (PRO SERVIC),,2021/05/24 00:00:00+00,567100,565280.57,12819,W.K. DICKSON & CO. INC.,490,Current,,,
492,91700337,"NEP AREA 2 WL PROJECT, MT. CARMEL & TINY FARMS SUB",34019,"PULLIAM STATE BUREAU, LLC",CLOSED,CON  (CONSTUCT/R),,2020/06/19 00:00:00+00,2674820,2564159.13,24009,"BUCKEYE BRIDGE, LLC ",491,1-30,,,
493,92000217,SDO & PUD - DOWNTOWN MASTER PLAN UPDATES          ,36500,WXPROOFING LLC,POSTED,GS   (GEN SERV),SERVICE,2021/08/20 00:00:00+00,6000,6000,31405,"TRAFFIC PLANNING AND DESIGN, INC.",492,90+,,,
494,92200146,REPARATIONS PROCESS PROJECT MANAGER               ,7957,RIVER OF LIFE INTERNATIONAL,POSTED,GS   (GEN SERV),,2021/08/24 00:00:00+00,365583,365583,37968,TEQUITY,493,61-90,,,
495,91100448,SERVICE CONTRACT                                  ,30666,"FAIR AND IMPARTIAL POLICING, LLC",CLOSED,GS   (GEN SERV),,2012/06/26 00:00:00+00,1099,9247,812,DODSON BROS EXTERMINATING,494,90+,,,
496,92000370,2020 ANNUAL DAM SAFETY INSPECTION - BEE TREE DAM  ,20857,"SEI, INC.",CLOSED,GS   (GEN SERV),,2020/08/11 00:00:00+00,11000,11000,4596,SCHNABEL ENGINEERING SOUTH PC,495,31-60,,,
497,91200202,EMORY ELECTRIC-ELECTRICAL WIRING AT CNG STATION   ,4983,ENVIRONMENTAL TESTING SOLUTION,CLOSED,GS   (GEN SERV),,2012/04/25 00:00:00+00,9522,9800,916,EMORY ELECTRIC INC,496,Current,,,
498,91100119,UNARMED SECURITY GUARDS IN GARAGES                ,10702,SCOTS SOUND. INC.,CLOSED,GS   (GEN SERV),,2012/06/28 00:00:00+00,63000,77308.63,5977,G4S SECURE SOLUTIONS (USA) INC,497,31-60,,,
499,91100277,BC 10 STAGE CREW                                  ,1638,MUSICIANS WORKSHOP,CLOSED,GS   (GEN SERV),,2010/08/03 00:00:00+00,570,570,10882,"FINKE, JORDAN",498,1-30,,,
500,91700323,POLLING SERVICES                                  ,16964,"MCMILLAN PAZDAN SMITH, LLC",CLOSED,GS   (GEN SERV),,2017/06/06 00:00:00+00,7500,7500,25016,CAMPAIGN RESEARCH AND STRATEGY,499,90+,,,
501,91900264,PHYSICIAN SERVICES FOR EMPLOYEE HEALTH CENTER     ,15444,"RECREATION ACCESSIBILITY, LLC.",CLOSED,GS   (GEN SERV),,2021/05/21 00:00:00+00,11000,11000,25047,"FLETCHER HOSPITAL, INC, DBA  ADVENTHEALTH  HENDERS",500,Current,,,
502,92100209,"ACOUSTICAL SUPPORT, MECHANICAL VERIFICATION       ",11401,"MURRAY, JOHN",CLOSED,PRO  (PRO SERVIC),SUPPLMNTL ON CALL,2022/02/17 00:00:00+00,11500,11500,35848,"CMTA,INC",501,1-30,,,
503,91100258,RENOVATION OF THE OTTER EXHIBIT                   ,11164,"BOSEMAN, DYSHANNA",CLOSED,CON  (CONSTUCT/R),,2013/04/17 00:00:00+00,30400,46026.32,5260,"B ALLEN CONSTRUCTION, INC.",502,61-90,,,
504,91400106,AUTOMATIC AID AGREEMENT                           ,7219,XI OMEGA CHAPTER OF BETA SIGMA,CLOSED,GENERAL,,2013/09/04 00:00:00+00,82655.25,82655.25,4080,REEMS CREEK VALLEY FIRE DEPT,503,61-90,,,
505,91600142,WATER RESOURCES PLAN REVIEWS                      ,28417,GENTRY HEATING LLC,CLOSED,PRO  (PRO SERVIC),,2016/06/07 00:00:00+00,15000,15000,12339,"ELLUM ENGINEERING, INC.",504,1-30,,,
506,92100472,SOFTWARE TO TRACK AND ANALYZE RESIDENT DATA -     ,11266,"BRYANT'S LAND AND DEVELOPMENT INDUSTRIES, INC.",CLOSED,GS   (GEN SERV),,2021/11/19 00:00:00+00,28000,28000,37341,"ZENCITY TECHNOLOGIES US, INC",505,1-30,,,
507,91500043,FHAP 2014 - ASHEVILLE BUNCOMBE COMMUNITY RELATIONS,11163,"JONES, TIFFANY",CLOSED,GS   (GEN SERV),,2015/06/20 00:00:00+00,11000,11000,33,ASHEVILLE BUNCOMBE COMMUNITY RELATIONS COUNCIL,506,Current,,,
508,91300198,PAY-BY-PHONE VALIDATION SYSTEM YEAR CONTRACT      ,31994,"SLURRY PAVERS, INC.",CLOSED,GS   (GEN SERV),,2016/02/03 00:00:00+00,10000,51457,15130,"PASSPORT LABS, INC.",507,61-90,,,
509,92000426,EXTENDED WARRANTY OF TIME CLOCKS FOR HCCA YEARS2-5,9222,FERRELL GAS,CLOSED,GS   (GEN SERV),,2021/03/23 00:00:00+00,1440,1440,34185,ACUMEN DATA SYSTEMS INC.,508,90+,,,
510,92000123,WIRELESS ACCESS POINTS AT MAIN ART BUS STATION    ,8373,"PAYNE, MCGINN & CUMMINS INC",CLOSED,GS   (GEN SERV),,2021/04/21 00:00:00+00,4200,0,6940,"SKYRUNNER,INC",509,Current,,,
511,91800031,MASTER CONTRACT FOR MMS                           ,22375,FIELDS CONSULTING GROUP LLC,POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,65000,350000,3204,MAIL MANAGEMENT SERVICES,510,61-90,,,
512,91100678,SHAUN WARD                                        ,3805,UNCA FOUNDATION,CLOSED,GENERAL,,2011/05/05 00:00:00+00,500,200,9011,SHAUN WARD,511,61-90,,,
513,92000167,MOWING IN VARIOUS COA PARKS JULY-OCT 2019         ,10420,"MAGELLAN STRATEGY GROUP, LLC",CLOSED,GS   (GEN SERV),,2020/04/23 00:00:00+00,45084,30519.44,19668,"WILDE ACRE LANDSCAPES, INC.",512,31-60,,,
514,91300062,CONTRACT FOR TEMPORARY LABOR IN GARAGES           ,18619,"UNIFIED TECHNOLOGY SYSTEMS, INC.",CLOSED,GS   (GEN SERV),,2016/06/01 00:00:00+00,60000,124103.4,5444,ASHEVILLE STAFFING RESOURCES,513,61-90,,,
515,91000134,FRENCH BORAD RIVER MPO MEMORANDUM OF UNDERSTANDING,6764,CAROLINA MANAGEMENT TEAM LLC,CLOSED,GS   (GEN SERV),,2010/05/20 00:00:00+00,8000,12432,1535,LAND-OF-SKY REGIONAL COUNCIL,514,31-60,,,
516,91300254,INSTALLATION OF NEW HVAC @ MCCORMICK              ,8840,BRUCE KENNEDY,CLOSED,CON  (CONSTUCT/R),,2013/04/17 00:00:00+00,14336,14336,1188,M B HAYNES CORPORATION,515,Current,,,
517,92100346,COMMUNITY ORG TO PROVIDE ENGAGEMENT SERVICES      ,1706,MCGILL ASSOCIATES PA,CLOSED,GS   (GEN SERV),,2021/05/10 00:00:00+00,5000,0,15118,SOUTHSIDE COMMUNITY ADVISORY BOARD,516,31-60,,,
518,91900436,MONTFORD TEMPIE AVERY COMPLEX GUTTERS             ,586,"MOORE ENTERTAINMENT, INC.",CLOSED,CON  (CONSTUCT/R),,2019/12/03 00:00:00+00,10300,9300,19640,"BENTON ROOFING, INC.",517,Current,,,
519,91600150,POWER WASHING OF GARAGE STAIRWELSL                ,14480,"ECIVIS, INC.",CLOSED,GS   (GEN SERV),,2016/08/01 00:00:00+00,15000,15000,22198,CHRISTY LONDON,518,1-30,,,
520,91700224,WM DEBRUHL WTP BULK CAUSTIC TANK REPLACEMENT      ,10765,KRK COMMUNICATIONS,CLOSED,CON  (CONSTUCT/R),,2018/05/24 00:00:00+00,475200,451582,26005,GILBERT ENGINEERING COMPANY,519,1-30,,,
521,91100428,SECURITY SERVICE CONTRACT FOR NORTH FORK          ,1863,NEO CORPORATION,CLOSED,GENERAL,,2012/06/29 00:00:00+00,32542.22,32105.19,5977,G4S SECURE SOLUTIONS (USA) INC,520,1-30,,,
522,91500309,2014-15 ANNUAL AUDIT-CHERRY BEKAERT               ,9263,TERRY JOSHUA SKIDMORE,CLOSED,GS   (GEN SERV),,2016/06/21 00:00:00+00,85500,85500,17106,"CHERRY BEKAERT, LLP",521,90+,,,
523,91100039,BC ENTERTAINER-BRUSHFIRE STANKGRASS               ,16379,"BMC SOFTWARE, INC.",CLOSED,ENT  (ENTERTAIN),,2010/07/01 00:00:00+00,250,250,7075,WILLIAM N SAYLOR,522,1-30,,,
524,91100375,ASPHALT UNLIMITED - MILLING                       ,37387,"INTERISE,INC",CLOSED,GS   (GEN SERV),,2013/10/11 00:00:00+00,30000,41000,3364,ASPHALT UNLIMITED OF ASHEVILLE,523,1-30,,,
525,91900403,INSTALLATION OF TWO DIGITAL SIGNS AT ART STATION  ,10129,BUILD IT NATURALLY,CLOSED,GS   (GEN SERV),,2019/06/28 00:00:00+00,2400,2400,10873,WILLIAM A STEWART SUPERIOR PAINTING INC.,524,1-30,,,
526,91100591,ATHLETIC OFFICIAL                                 ,19505,"CLARK NEXSEN, INC.",CLOSED,GENERAL,,2013/10/11 00:00:00+00,1000,1000,11392,"POORE, PAUL EDWARD JR.",525,1-30,,,
527,92100324,DELIVERY AND SERVICE OF PORTABLE TOILETS          ,29270,"LORD, AECK AND SARGENT, INC",POSTED,GS   (GEN SERV),,2021/08/20 00:00:00+00,10000,10000,34326,FUSIONSITE ASHEVILLE,526,1-30,,,
528,91000559,RFP:ITS-310-2 / GENERATOR REPLACEMENTS            ,19856,WNC ROOFING LLC,CLOSED,CON  (CONSTUCT/R),,2010/11/08 00:00:00+00,59100,75981,6738,MAYBINS EMERGENCY POWER,527,1-30,,,
529,91100826,SIMPLEX 4100 FIRE ALARM PANEL                     ,23222,NORTHERN VIRGINIA EMERGENCY RESPONSE SYSTEM,CLOSED,GS   (GEN SERV),,2011/09/06 00:00:00+00,2520,2520,7265,SIMPLEXGRINNELL,528,31-60,,,
530,91300167,MANUFACTURE AND INSTALL CUSTOM POOL COVER         ,1914,CARL NEFF,CLOSED,GS   (GEN SERV),,2013/02/14 00:00:00+00,16750,16750,13352,"LEGACY COMMERCIAL POOL SERVICES, INC.",529,31-60,,,
531,91500055,SUPPLEMENTAL CONCRETE MAINTENANCE CONTRACT        ,19105,"POLICE SERVICE DOGS, INC.",CLOSED,CON  (CONSTUCT/R),,2015/05/13 00:00:00+00,22000,20790.5,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",530,90+,,,
532,91100369,IT SERVICES - FY11 RADIO MAINTENANCE SERVICES     ,10783,"JAMES RIVER EQUIPMENT VIRGINIA,LLC",CLOSED,GS   (GEN SERV),,2013/06/12 00:00:00+00,15000,34968.98,27632,MOBILE COMMUNICATIONS AMERICA INC,531,31-60,,,
533,91900176,JUST ECONMOMIC PATHWAYS TO ECON. MOBILITY FY 18-19,13640,AIRVENT EXTERIORS,CLOSED,GS   (GEN SERV),STRATEGIC PARTNER,2019/08/02 00:00:00+00,5000,5000,30830,JUST ECONOMICS,532,31-60,,,
534,91400248,INSTALLATION OF DOWNTOWN WASTE AND RECYCLING CONTA,8514,FIRST TRANSIT INC,CLOSED,GS   (GEN SERV),,2015/06/17 00:00:00+00,21000,19300,16673,"APPALACHIAN PAVING AND CONCRETE, INC.",533,1-30,,,
535,91900219,GREENWAY CONNECTOR - PHASE 2 - DESIGN 1           ,18293,"RATHBONE, DALE EDWARD",POSTED,PRO  (PRO SERVIC),,2021/08/20 00:00:00+00,114104.9,114104.9,20175,"ALTA PLANNING & DESIGN, INC.",534,31-60,,,
536,92200301,BPSS MACH ALERT SYSTEM                            ,36672,COURTNEY M. HOFFSES,CREATED,GS   (GEN SERV),,2022/01/27 00:00:00+00,145961,145961,11516,"MOTOROLA SOLUTIONS, INC.",535,61-90,,,
537,91000273,                                                  ,30947,"CANNON HEALTHCARE PROPERTIES, LLC",CLOSED,GS   (GEN SERV),,2010/08/19 00:00:00+00,15000,15000,10098,AMERICAN IMAGE GRAPHICS CORP.,536,Current,,,
538,91700297,GEOTECH TESTING AT 14 RIVERSIDE DRIVE             ,37014,GRAYSHIFT LLC,CLOSED,PRO  (PRO SERVIC),,2017/05/04 00:00:00+00,4000,1736.32,12332,"WOOD ENVIRONMENT & INFRASTRUCTURE SOLUTIONS, INC.",537,90+,,,
539,91800078,CONSTRUCTION HISTORY CONDITION UPDATED FUNCTION   ,10111,HOLLOWAY FENCE CO.,CLOSED,PRO  (PRO SERVIC),,2019/08/12 00:00:00+00,5180,5180,20011,"KERCHER ENGINEERING, INC.",538,Current,,,
